from,to,cost_per_unit_shipped,transportation_method,congestion_level
1,3,5,Diesel Trucks,30
1,5,10,Cargo Ships (Heavy Fuel Oil),97
2,3,13,Cargo Ships (Heavy Fuel Oil),79
2,4,15,Slow Steaming Cargo Ships,88
2,5,15,Electrified Rail,120
2,6,17,Diesel Trucks,85
2,7,12,Air Freight,84
3,1,12,Cargo Ships (Heavy Fuel Oil),91
3,4,11,Wind-powered Ships,91
3,6,21,Diesel Rail,97
4,2,7,Electrified Rail,28
4,3,22,Cargo Ships (Heavy Fuel Oil),33
4,6,22,Diesel Trucks,78
4,7,16,Slow Steaming Cargo Ships,42
5,1,17,Diesel Trucks,98
5,3,23,Diesel Rail,97
5,4,10,Diesel Rail,83
5,7,9,Air Freight,29
6,2,5,Air Freight,94
6,4,13,Diesel Rail,107
7,1,16,Cargo Ships (Heavy Fuel Oil),35
7,3,11,Diesel Rail,84
7,4,8,Diesel Trucks,90
7,6,5,Cargo Ships (Heavy Fuel Oil),30
