,WH v DC,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,
,1,41.54,17.21,51.15,15.9,4.08,11.61,,,,,,,,,,,,,,,,,,,,,
,2,54.1,19.65,50.25,28.46,18.28,15.87,,,,,,,,,,,,,,,,,,,,,
,3,44.42,20.39,58.69,17.7,3.46,14.79,,,,,,,,,,,,,,,,,,,,,
,4,12.14,49.19,26.41,16.08,30.12,43.59,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH v DC,1,2,3,4,5,6,Total Units,,,,,,,,,,,,,,,,,,,,
,1,0,919,0,922,730,657,3228,X1,,,,,,,,,,,,,,,,,,,
,2,0,0,0,0,0,0,0,X2,,,,,,,,,,,,,,,,,,,
,3,0,0,0,0,0,0,0,X3,,,,,,,,,,,,,,,,,,,
,4,720,0,931,0,0,0,1651,X4,,,,,,,,,,,,,,,,,,,
,SUM,720,919,931,922,730,657,,,,,,,,,,,,,,,,,,,,,
,Demand,720,919,931,922,730,657,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Cost ->," $79,892 ",,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Binary Variables,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,
,Linking Constraints,-1651,0,0,-3228,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Setup Cost," $2,708 "," $1,665 "," $2,255 "," $2,774 ",,,,,,,,,,,,,,,,,,,,,,,
,Actual Cost," $2,708 ", $-   , $-   ," $2,774 ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Max if 1,96,91,84,100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH 1,4879,4879,4879,4879,4879,4879,,,,,,,,,,,,,,,,,,,,,
,,41.54,17.21,51.15,15.9,4.08,11.61,,,,,,,,,,,,,,,,,,,,,
,,118,284,96,307,1196,421,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH 2,4879,4879,4879,4879,4879,4879,,,,,,,,,,,,,,,,,,,,,
,,54.1,19.65,50.25,28.46,18.28,15.87,,,,,,,,,,,,,,,,,,,,,
,,91,249,98,172,267,308,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH 3,4879,4879,4879,4879,4879,4879,,,,,,,,,,,,,,,,,,,,,
,,44.42,20.39,58.69,17.7,3.46,14.79,,,,,,,,,,,,,,,,,,,,,
,,110,240,84,276,1411,330,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH 4,4879,4879,4879,4879,4879,4879,,,,,,,,,,,,,,,,,,,,,
,,12.14,49.19,26.41,16.08,30.12,43.59,,,,,,,,,,,,,,,,,,,,,
,,402,100,185,304,162,112,,,,,,,,,,,,,,,,,,,,,
